Gene start (bp)	Gene end (bp)	Gene % GC content	Chromosome/scaffold name	Gene name	NCBI gene (formerly Entrezgene) ID
99200774	99386504	41.75	13	UBAC2	337867
33818069	33966558	37.82	13	RFC3	5983
115141	403072	39.06	HG2236_PATCH	PLCL2	23228
245664	245728	66.15	HG2236_PATCH	MIR3714	100500913
5142911	5197503	39.25	18	AKAIN1	642597
45212995	45683688	42.88	18	SLC14A2	8170
78598362	78603552	51.88	13	POU4F1	5457
23979805	24307074	44.13	13	SPATA13	221178
9475009	9538114	41.37	18	RALBP1	10928
43623	51348	60.46	HG2246_HG2248_HG2276_PATCH	DDX51	317781
51486	59502	63.76	HG2246_HG2248_HG2276_PATCH	NOC4L	79050
93764	96724	63.26	HG2246_HG2248_HG2276_PATCH	LINC02361	100996246
236210	237935	54.46	HG2246_HG2248_HG2276_PATCH		101928416
103401	235949	58.49	HG2246_HG2248_HG2276_PATCH	GALNT9	50614
26016253	26091217	35.21	18	SS18	6760
36460621	36576569	46.47	21	CLDN14	23562
33903453	33915814	43.23	21	ATP5PO	539
39038306	39050109	37.72	13	NHLRC3	387921
38974429	38977774	46.47	21	LINC01700	101928435
17901263	18267373	37.04	21	CHODL	140578
58165827	58209483	35.33	13	LINC02338	101926897
53028813	53052057	40.05	13	OLFM4	10562
57140918	57143939	49.77	13	PRR20A	122183
97953658	98024296	40.27	13	IPO5	3843
34157724	34190244	43.00	21	LINC00310	114036
103030	472459	45.92	HG2263_PATCH	XYLT1	64131
135765	139997	47.22	HG2263_PATCH		102723692
28013363	28023233	39.89	21	LINC00314	246705
5572	10882	50.95	HG2247_PATCH	LINC02985	100506691
46598604	46605208	45.16	21	S100B	6285
21012	85373	50.10	HG2247_PATCH	MLXIP	22877
29194071	29630751	39.61	21	BACH1	100379661
29194071	29630751	39.61	21	BACH1	571
26393635	26569252	38.21	21	CYYR1-AS1	100996571
38857539	38858861	47.32	21		101928398
7048891	7087229	39.64	21		102724843
14582202	14598303	34.65	21	SAMSN1-AS1	100874190
38733890	38747460	41.57	21	LINC00114	400866
6954677	6957419	50.49	18		101927188
38805183	38824955	46.16	21	ETS2	2114
3435	65394	43.57	HG2265_PATCH	PCP4	5121
150307	986812	40.93	HG2265_PATCH	DSCAM	1826
8360820	8367034	45.49	18		100192426
35951803	35966118	39.38	18		105372066
352006	352085	33.75	HG2265_PATCH	MIR4760	100616148
522737	525012	42.84	HG2265_PATCH	DSCAM-AS1	100506492
9136228	9285985	37.33	18	ANKRD12	23253
755032	770421	40.53	HG2265_PATCH	DSCAM-IT1	100874326
124145	138052	41.75	HG2251_PATCH	RPL23AP87	388574
46173553	46266992	40.58	18	ARK2N	147339
74288070	74408810	36.99	13		105370259
38155549	38307357	41.07	21	KCNJ15	3772
50375040	50394168	39.35	18	SKA1	220134
59665583	60163928	35.91	13	DIAPH3	81624
339029	342620	49.69	HG2267_PATCH	MCPH1-DT	100287015
7165	11141	50.84	HG2264_PATCH	RTP1	132112
178064	181755	42.42	HG2264_PATCH	RTP4	64108
6769	17308	47.13	HG2264_PATCH		101929106
100951	107612	41.70	HG2264_PATCH		101929130
26961	101659	45.03	HG2264_PATCH	MASP1	5648
35984387	36067576	38.63	18	RPRD1A	55197
33589341	33643926	41.59	21	CRYZL1	9946
42743227	43115691	35.68	18	RIT2	6014
22413599	22417915	38.15	18	CTAGE1	64693
24460637	24479961	42.42	18	HRH4	59340
22798261	23026488	37.83	18	RBBP8	5932
28872191	28885371	38.62	21	N6AMT1	29104
259882	645636	39.81	HG2280_PATCH	ADAMTSL3	57188
14483	48044	37.95	HG2266_PATCH	HBP1	26959
53022	224537	40.80	HG2280_PATCH	SH3GL3	6457
47077	410169	37.10	HG2266_PATCH	COG5	10466
1092832	1119642	48.03	HG2280_PATCH	ZSCAN2	54993
13516107	13574999	37.29	21	LINC01674	102724188
315665	321332	30.77	HG2266_PATCH	GPR22	2845
409139	424178	37.87	HG2266_PATCH	DUS4L	11062
26917922	26967088	38.46	21	ADAMTS5	11096
1131131	1146189	48.66	HG2280_PATCH	WDR73	84942
426428	464015	36.13	HG2266_PATCH	BCAP29	55973
8986999	8987178	83.89	21	MIR3648-2	103504731
8249505	8249596	83.70	21	MIR6724-2	103504727
1146975	1150409	56.33	HG2280_PATCH	NMB	4828
8388362	8388453	83.70	21	MIR6724-3	103504739
8395607	8395759	57.52	21	RNA5-8SN3	109910381
8432530	8432621	83.70	21	MIR6724-4	103504733
8439823	8439975	57.52	21	RNA5-8SN1	106632260
8205315	8205406	83.70	21	MIR6724-1	102465433
8208473	8208652	83.89	21	MIR3648-1	100500862
1001772	1008631	53.89	HG2280_PATCH	GOLGA6L5P	100133220
1001772	1008631	53.89	HG2280_PATCH	GOLGA6L5P	642402
8212572	8212724	57.52	21	RNA5-8SN2	109864281
13644775	13644850	32.89	21	MIR3118-1	100423008
16590751	16592810	55.19	22	CCT8L2	150160
13406384	13406460	42.86	21	MIR3156-3	100423018
1019042	1063062	39.15	HG2280_PATCH	UBE2Q2P1	388165
25573980	25574044	40.00	21	MIR155	406947
23079284	23079392	34.86	21	MIR6130	102466967
26953961	26954043	31.33	21	MIR4759	100616243
18686090	18686164	33.33	21	MIR548X	100422920
6511416	6590653	40.01	18	LINC01387	100130480
1062495	1072021	44.24	HG2280_PATCH	LINC00933	100506874
32377187	32377322	55.88	21	SNORA80A	677846
6256747	6260934	44.32	18	L3MBTL4-AS1	101927150
41885112	41954018	47.95	21	C2CD2	25966
55881688	55998219	37.96	18	LINC01416	101927273
23992773	24135610	41.64	18	TTC39C	125488
57631744	57729311	33.32	13	PCDH17	27253
27066156	27171811	38.81	13	USP12	219333
50560087	50731826	45.75	18	MAPK4	5596
41986831	42010387	42.80	21	ZBTB21	49854
41061509	41084006	38.67	13	WBP4	11193
42102134	42108534	55.23	21	UMODL1-AS1	150147
46326809	46463140	49.03	18	ARK2C	494470
42009194	42055130	50.20	21	ZNF295-AS1	150142
20495913	20587632	50.50	22	MED15	51586
34723807	34737204	43.92	21	LINC00160	54064
88626853	88630397	33.40	13	LINC00560	100861553
36674020	36697839	39.42	13	SERTM1	400120
35720715	35720808	37.23	21	MIR802	768219
74412957	74419115	42.49	13		100288208
36069642	36126640	43.47	21	CBR1-AS1	100133286
48252301	48252837	48.23	18	ZBTB7C-AS2	84322
36069941	36073166	50.62	21	CBR1	873
29509414	29595688	47.44	13	SLC7A1	6541
57352557	57371731	41.31	18	ST8SIA3	51046
61808067	61894247	42.43	18	RNF152	220441
36135079	36146562	48.40	21	CBR3	874
54901509	54959461	39.73	18	CCDC68	80323
98683801	98752672	44.52	13	SLC15A1	6564
34787801	36004667	41.54	21	RUNX1	100506403
34787801	36004667	41.54	21	RUNX1	861
682364	921979	39.30	HG2275_PATCH	TMEM131	23505
58281	69580	48.77	HG2275_PATCH	FAHD2B	151313
47808957	47931146	37.52	18	SMAD2	4087
87851	239219	36.00	HG2275_PATCH	ANKRD36	375248
32412006	32515397	46.51	21	EVA1C	59271
572093	574414	50.22	HG2275_PATCH	COX5B	1329
581970	590075	58.52	HG2275_PATCH	ACTR1B	10120
590248	629097	45.08	HG2275_PATCH	C2orf92	728537
42339188	42485956	40.21	13	LINC02341	105370177
418694	515908	35.77	HG2275_PATCH	ANKRD36B	57730
40555667	40666641	42.00	13	FOXO1	2308
32592079	32612603	47.33	21	CFAP298	56683
74419158	74444735	37.20	13	LINC00381	100874151
639607	665893	55.11	HG2275_PATCH	ZAP70	7535
54717860	54895516	37.74	18	RAB27B	5874
45464898	45536701	39.14	13	COG3	83548
56597209	56651600	38.58	18	TXNL1	9352
32402511	32612865	46.17	21	CFAP298-TCP10L	110091775
193957	230684	39.95	HG2291_PATCH	FAM230C	26080
46553168	46753040	40.02	13	LRCH1	23143
48539031	48863217	50.34	18	CTIF	9811
30239194	30240538	53.16	22	LIF-AS1	110806283
32497967	32587373	45.39	21	TCP10L	140290
30262829	30266851	60.33	22	OSM	5008
34418715	34423951	41.59	21	SMIM34	388820
64041555	64423601	38.09	18	LINC01924	284294
17593653	17612945	37.73	21	BTG3	10950
37481467	37484769	37.33	13	LINC01048	103695431
77599755	77606551	36.96	13	SCEL-AS1	104355296
31399604	31530634	44.40	22	DRG1	4733
79804418	79805685	37.38	13	LINC01038	102724076
49247925	49293485	38.43	13	CDADC1	81602
32124877	32470882	39.43	18	GAREM1	64762
44805617	44818779	54.29	21	SUMO3	6612
1831	11386	50.98	HG2285_HG106_HG2252_PATCH		105371430
7688	28425	49.85	HG2285_HG106_HG2252_PATCH	LIAT1	400566
56137573	56150102	41.72	18		105372132
68145	281194	45.86	HG2285_HG106_HG2252_PATCH	VPS53	55275
67516546	67899619	35.35	18	DSEL-AS1	643542
47285725	47594550	44.38	18	MIR4527HG	110175910
60294136	60301317	37.51	18		105372155
72752169	72782096	36.46	13	DIS3	22894
25585656	25607517	37.94	21	MRPL39	54148
48026672	48410752	46.94	18	ZBTB7C	201501
30080464	30177075	37.57	22	HORMAD2	150280
37341	50318	51.56	HG2285_HG106_HG2252_PATCH	RFLNB	359845
77778	78311	63.48	HG2334_PATCH	KLLN	100144748
33750	61434	38.87	HG2334_PATCH	CFL1P1	142913
78462	183684	36.00	HG2334_PATCH	PTEN	5728
14485228	14658821	36.33	21	SAMSN1	64092
36860988	36878017	53.40	22	NCF4	4689
34375480	34416961	47.30	21	SMIM11	102723553
34375480	34416961	47.30	21	SMIM11	54065
57147087	57150410	45.49	18	BOD1L2	284257
74073353	74147843	40.53	18	FBXO15	201456
36699115	36749917	51.13	21	SIM2	6493
85363601	85544570	35.10	13	LINC00351	100874137
39655627	39791665	35.35	13	COG6	57511
16730	37102	55.33	HG2288_HG2289_PATCH	C13orf46	100507747
40809	191714	56.87	HG2288_HG2289_PATCH	RASA3	22821
31759584	31760880	43.56	18	SLC25A52	147407
37006150	37019662	48.79	21	RIPPLY3	53820
31488688	31618588	46.58	22	SFI1	9814
43659560	43696079	47.50	21	RRP1B	23076
65750252	65890337	35.27	18	CDH7	1005
43719094	43762307	57.26	21	PDXK	8566
36777647	36829216	42.82	18	TPGS2	25941
30906271	30925572	45.46	13	MEDAG	84935
89214847	89236890	33.07	13	LINC01047	105616982
110305812	110513209	47.83	13	COL4A2	1284
43789513	43805293	57.27	21	RRP1	8568
9469	23568	37.50	HG2408_PATCH	RNF139	11236
23435	74408	40.76	HG2408_PATCH	TATDN1	83940
79872586	79918042	38.95	13	LINC00382	101927195
60371062	60372775	43.29	18	MC4R	4160
57140918	57157082	50.22	13	PRR20C	729240
67808505	67814822	35.04	18	LINC01903	101927430
43465	43526	25.81	HG2408_PATCH	MIR6844	102466200
21312	247523	40.15	HG2308_PATCH	PCDHA1	56147
30028	247523	40.11	HG2308_PATCH	PCDHA2	56146
36204	247523	40.07	HG2308_PATCH	PCDHA3	56145
42105	247523	40.01	HG2308_PATCH	PCDHA4	56144
85792790	85806683	32.58	13	SLITRK6	84189
68673688	68715108	36.04	18	TMX3	54495
56780	247523	40.23	HG2308_PATCH	PCDHA5	56143
104125930	104134257	33.77	13		105370340
63134	247523	40.20	HG2308_PATCH	PCDHA6	56142
69424	247523	40.11	HG2308_PATCH	PCDHA7	56141
76363	247523	40.02	HG2308_PATCH	PCDHA8	56140
66302834	67230445	34.66	13	PCDH9	5101
82948	247523	39.95	HG2308_PATCH	PCDHA9	9752
91059	247523	39.83	HG2308_PATCH	PCDHA10	56139
43805758	43812567	60.18	21	AATBC	284837
103359	247523	39.64	HG2308_PATCH	PCDHA11	56138
110478	247523	39.53	HG2308_PATCH	PCDHA12	56137
117300	247523	39.36	HG2308_PATCH	PCDHA13	56136
43865223	43987592	51.65	21	AGPAT3	56894
201646	247523	41.75	HG2308_PATCH	PCDHAC2	56134
286550	294522	39.96	HG2308_PATCH	PCDHB1	29930
161475	247523	39.43	HG2308_PATCH	PCDHAC1	56135
329782	333879	48.32	HG2308_PATCH	PCDHB2	56133
356994	360799	45.69	HG2308_PATCH	PCDHB4	56131
370382	373791	49.68	HG2308_PATCH	PCDHB5	26167
57054558	57072119	47.37	18	LINC-ROR	100885779
385233	388463	50.26	HG2308_PATCH	PCDHB6	56130
407820	411559	47.54	HG2308_PATCH	PCDHB7	56129
412966	415715	53.93	HG2308_PATCH	PCDHB8	56128
417563	421402	47.47	HG2308_PATCH	PCDHB16	57717
39570753	39689735	56.05	22	CACNA1I	8911
422303	426717	46.34	HG2308_PATCH	PCDHB9	56127
427529	430823	48.47	HG2308_PATCH	PCDHB10	56126
434786	438955	48.56	HG2308_PATCH	PCDHB11	56125
443873	447747	45.88	HG2308_PATCH	PCDHB12	56124
449095	454155	47.07	HG2308_PATCH	PCDHB13	56123
458519	462935	45.82	HG2308_PATCH	PCDHB14	56122
469509	472705	49.58	HG2308_PATCH	PCDHB18P	54660
480571	484541	47.92	HG2308_PATCH	PCDHB15	56121
39655645	39665494	35.12	18		101927857
61333430	61555779	39.06	18	CDH20	28316
335649	339003	49.63	HG2308_PATCH	PCDHB3	56132
44012309	44106552	46.02	21	TRAPPC10	7109
70335439	70352459	39.71	18	LINC01909	101927481
32470288	32745567	38.88	18		112268208
12785478	12929643	42.19	18	PTPN2	5771
18195297	18232024	39.95	13	FAM230C	26080
19823482	19863649	42.62	13	ZMYM5	9205
44107373	44131181	56.89	21	PWP2	5822
88142867	88236082	36.01	13	LINC00373	105370306
112067149	112071706	55.75	13	SOX1	6656
30932656	30975500	40.64	13	TEX26	122046
100708325	101059286	41.35	13	NALCN-AS1	100885778
108596152	109208005	38.48	13	MYO16	23026
37365573	37526358	39.17	21	DYRK1A	1859
62715541	62980433	39.46	18	PHLPP1	23239
40044817	40335808	42.15	22	TNRC6B	23112
1309218	1310156	44.09	HG2365_PATCH	OR4M2	390538
1323146	1324093	47.15	HG2365_PATCH	OR4N4	283694
3023934	3054785	36.36	HG2365_PATCH	POTEB	100996331
3023934	3054785	36.36	HG2365_PATCH	POTEB	100287399
3680689	3718280	47.57	HG2365_PATCH	NIPA1	123606
3764107	3841375	48.85	HG2365_PATCH	CYFIP1	23191
4023536	4031349	51.65	HG2365_PATCH	GOLGA6L1	440243
4023536	4031349	51.65	HG2365_PATCH	GOLGA6L1	283767
4052227	4062511	53.15	HG2365_PATCH	GOLGA8DP	100132979
66501083	66604138	32.30	18	CDH19	28513
4275401	4283241	51.80	HG2365_PATCH	GOLGA6L26	102723623
4384966	4393338	52.91	HG2365_PATCH	GOLGA6L2	283685
4591460	4595206	64.16	HG2365_PATCH	MAGEL2	54551
110148963	110307157	44.90	13	COL4A1	1282
4634304	4635027	66.16	HG2365_PATCH	NDN	4692
773566	783509	50.85	HG2365_PATCH	GOLGA6L6	727832
1080247	1111266	36.50	HG2365_PATCH	POTEB2	100287399
76528652	76670111	44.95	18	LINC00683	400660
76528652	76670111	44.95	18	LINC00683	284276
1994634	2029636	37.78	HG2365_PATCH	POTEB3	102724631
30008742	30080480	45.27	22	HORMAD2-AS1	101929664
2241003	2242127	45.51	HG2365_PATCH	OR4N4C	105369274
2331526	2331959	58.06	HG2365_PATCH		102724971
35066136	35087387	47.22	22	ISX	91464
57169615	57171194	40.13	18	LINC02565	105372138
43132209	43143398	52.52	22	MCAT	27349
75409476	75427703	41.68	18	SMIM21	284274
15784959	15829984	41.82	22	DUXAP8	503637
41113	67257	44.38	HG2461_PATCH	ZNF558	148156
41465783	41632185	37.55	18	KC6	641516
67320	78283	45.28	HG2461_PATCH	MBD3L1	85509
30246205	30246998	60.33	22	LIF-AS2	91370
39743044	39893864	38.49	22	ENTHD1	150350
83783	260177	46.32	HG2461_PATCH	MUC16	94025
35972625	35979286	41.17	18	C18orf21	83608
30240453	30246759	58.90	22	LIF	3976
41798225	41879482	51.21	21	PRDM15	63977
39120167	39152680	54.25	22	CBX7	23492
6446723	6528459	38.35	20	CASC20	101929244
4220630	4249287	51.78	20	ADRA1D	146
958452	1002311	50.89	20	RSPO4	343637
26454910	26657401	42.61	18	KCTD1	284252
227258	229886	39.94	20	DEFB129	140881
43923792	43964488	49.36	22	PNPLA3	80339
869900	916334	50.62	20	ANGPT4	51378
1629152	1657779	43.73	20	SIRPG	55423
43528744	43812337	42.97	22	EFCAB6	64800
36108531	36129385	39.44	18	SLC39A6	25800
5750393	5864395	43.32	20	SHLD1	149840
112056845	112108015	49.15	13	SOX1-OT	100505996
50158	79085	46.14	HG2407_PATCH	RNF135	84282
5289019	5297053	49.00	18	ZBTB14	7541
10435305	10636829	40.51	20	SLX4IP	128710
173524	173599	52.63	HG2407_PATCH	MIR4733	100616266
351187	376701	38.22	HG2407_PATCH	OMG	101927057
351187	376701	38.22	HG2407_PATCH	OMG	4974
109752695	109786583	46.75	13	IRS2	8660
382932	393259	37.08	HG2407_PATCH	EVI2B	2124
87250	97094	37.75	20	DEFB125	245938
112376355	112434689	41.46	13	SPACA7	122258
76686058	76693636	46.46	18	LINC01879	400661
87671	172301	42.22	HG2407_PATCH		107984974
21511017	21514064	58.40	20	NKX2-2	4821
77249848	77277900	44.37	18	GALR1	2587
6767686	6780246	43.74	20	BMP2	650
12615	42058	46.89	HG2476_PATCH	LINC02145	401172
74048	80745	45.00	HG2476_PATCH	MED10	84246
152669	200533	47.07	HG2476_PATCH	UBE2QL1	134111
113748511	113751089	57.19	13	LINC00552	100130386
1978757	1994285	48.91	20	PDYN	5173
71015042	71168417	35.38	13	LINC00348	100885781
46762617	47175699	49.42	22	TBC1D22A	25771
25061924	25352190	38.07	18	ZNF521	25925
38965925	38990859	38.26	13	STOML3	161003
7146467	7254202	37.31	20	LINC01428	101929265
833715	857463	51.88	20	FAM110A	83541
112313467	112321758	47.21	13	LINC01043	101928752
110878540	110915069	40.00	13	ANKRD10	55608
20368104	20370949	63.18	20	INSM1	3642
1633508	1648472	45.25	20	SIRPG-AS1	101929010
187853	189711	41.31	20	DEFB128	245939
24426634	24453531	38.32	18	IMPACT	55364
81225865	81226983	34.85	13	LINC00564	100861546
24331450	24337121	37.22	13	LINC00566	100861547
112322567	112331225	52.55	13	LINC01044	104266956
142590	145751	34.69	20	DEFB126	81623
107163510	107867496	37.44	13	NALF1	728215
113759226	113816995	53.71	13	TMEM255B	348013
11890723	11926609	38.63	20	BTBD3	22903
9646110	9648502	44.34	18	LINC02856	112268216
72536680	72638521	38.33	18	CBLN2	147381
42950928	42951014	34.48	21	MIR5692B	100847013
42974510	43033931	46.99	21	PKNOX1	5316
85065087	85078920	33.69	13	LINC00375	104355140
100089015	100530437	39.84	13	PCCA	5095
56031830	56135295	39.01	18	LINC01905	102724698
61022	62549	50.20	HG2499_PATCH	FAM138E	100124412
66596	66733	31.16	HG2499_PATCH	MIR1302-10	100422834
79661	79728	61.76	HG2499_PATCH	MIR6859-3	102465910
82695	85230	57.53	HG2499_PATCH	DDX11L16	100288486
82695	85230	57.53	HG2499_PATCH	DDX11L16	100287596
82695	85230	57.53	HG2499_PATCH	DDX11L16	727856
22194	45323	56.87	HG2419_PATCH	HSF1	3297
43053191	43076943	59.18	21	CBS	102724560
43053191	43076943	59.18	21	CBS	875
21395365	21397526	68.36	20	NKX2-4	644524
45187	57513	63.02	HG2419_PATCH	DGAT1	8694
5068232	5113103	44.98	20	TMEM230	29058
47849	47918	67.14	HG2419_PATCH	MIR6848	102465511
61168	67085	66.53	HG2419_PATCH	SCRT1	83482
82822	85517	64.50	HG2419_PATCH	TMEM249	340393
76495521	76498088	47.59	18	ZNF516-DT	400658
86034	89979	66.45	HG2419_PATCH	FBXL6	26233
36847372	36870441	51.27	22	NCF4-AS1	107985578
103704	123845	57.52	HG2419_PATCH	ADCK5	203054
48538900	48547387	56.04	22		284933
75455787	75468835	44.45	18		107985177
49853844	49890080	47.49	22	ZBED4	9889
123832	139938	59.96	HG2419_PATCH	CPSF1	29894
47345569	47373541	46.86	22		339685
39312882	39320389	53.41	22	RPL3	6122
73324941	73349879	37.89	18	LINC02582	100505817
124752	124833	74.39	HG2419_PATCH	MIR939	100126351
130689	130768	76.25	HG2419_PATCH	MIR1234	100302196
130880	130948	63.77	HG2419_PATCH	MIR6849	102466749
140345	147498	61.99	HG2419_PATCH	SLC39A4	55630
56083356	56137536	38.83	18	LINC01539	100505474
154203	159165	63.25	HG2419_PATCH	VPS28	51160
109728282	109730007	46.18	13	LINC00676	101409253
112485011	112588205	42.88	13	TUBGCP3	10426
64560	91889	60.43	HG2419_PATCH	SLC52A2	79581
17226107	17484578	41.47	20	PCSK2	5126
76978827	77133683	48.31	18	MBP	4155
21397740	21400391	35.60	20		105372558
2481817	2524702	43.04	20	ZNF343	79175
25561117	25564719	46.85	22	GRK3-AS1	100996404
23491101	23496010	45.07	20	CST8	10047
46296870	46330810	50.08	22	GTSE1	51512
244122	248512	38.62	HG2510_PATCH		389831
43169008	43172805	63.16	21	CRYAA	102724652
43169008	43172805	63.16	21	CRYAA	1409
13221274	13300651	44.20	20	ISM1	140862
23875934	23879748	54.44	20	CST5	1473
43092956	43107570	43.62	21	U2AF1	102724594
43092956	43107570	43.62	21	U2AF1	7307
24469629	24666616	46.09	20	SYNDIG1	79953
31436977	31496108	44.22	22	EIF4ENIF1	56478
96541	165111	45.51	HG2471_PATCH	SLC5A11	115584
22054074	22074654	41.53	20	LINC01432	100270679
113667219	113737736	60.29	13	GRK1	6011
7302056	7307432	37.85	20	LINC01751	101929288
21303331	21389825	37.21	20	XRN2	22803
172872	269149	44.36	HG2471_PATCH	ARHGAP17	55114
98175785	98177269	54.88	13	RNF113B	140432
78614289	78659155	38.50	13	OBI1	79596
111596009	111642079	46.92	13	LINC02337	105370369
109163902	109201483	37.58	13	MYO16-AS1	100885782
106653897	106672177	38.75	13	LINC00443	100874173
29764371	29850617	36.40	13	UBL3	5412
22371216	22471557	40.72	20		284788
110053285	110054952	44.36	13	LINC00396	104355146
36034541	36079389	44.84	21	SETD4	54093
89477608	89500509	34.45	13	LINC01040	105370308
49220338	49222377	60.29	13	MLNR	2862
16729961	16742564	38.18	20	SNRPB2	6629
28003274	28100592	43.22	13	FLT3	2322
76357682	76495242	47.60	18	ZNF516	9658
34017422	34218796	41.30	22	LINC01643	105373010
12865202	12952519	39.93	20	LINC01722	101929486
24949269	24959928	56.39	20	CST7	8530
26906481	27185308	38.36	18	CHST9	83539
25139652	25149372	49.16	20		284798
106541673	106568137	37.63	13	ARGLU1	55082
24962925	24992751	46.35	20	APMAP	57136
37273706	37276572	61.53	18		105372068
27375310	27401910	37.21	18		105372041
98142562	98455176	44.52	13	FARP1	10160
44702233	44862706	52.76	22	PRR5-ARHGAP8	553158
6919496	6929966	46.01	18	LINC00668	400643
17493905	17569220	44.74	20	BFSP1	631
23197144	23437961	45.61	18	TMEM241	85019
45407386	45410065	59.78	21	COL18A1-AS2	100874236
45419716	45425070	60.67	21	COL18A1-AS1	378832
45478266	45478326	55.74	21	MIR6815	102465489
83052	83121	30.00	HG2494_PATCH	MIR1245A	100302219
83053	83121	30.43	HG2494_PATCH	MIR1245B	100616324
100590	100652	26.98	HG2494_PATCH	MIR3606	100500837
79333	117706	33.80	HG2494_PATCH	COL3A1	1281
45493572	45573365	56.63	21	SLC19A1	6573
1947246	2030028	45.03	20	PDYN-AS1	727993
22284	59336	54.21	HG2515_PATCH	MEF2D	4209
23985050	23988779	58.02	20	GGTLC1	92086
83962	131161	50.86	HG2515_PATCH	IQGAP3	128239
138280	146276	53.95	HG2515_PATCH	TTC24	164118
177890	184284	54.26	HG2515_PATCH	HAPLN2	60484
152858	160055	48.50	HG2515_PATCH	GPATCH4	54865
23823769	23826729	56.64	20	CST2	1470
43955442	44010531	47.17	22	SAMM50	25813
45405165	45513720	59.66	21	COL18A1	80781
17570075	17609919	39.41	20	DSTN	11034
2101827	2177038	48.09	20	STK35	140901
30278906	30289956	51.34	20	LINC01597	102723678
30278906	30289956	51.34	20	LINC01597	101928906
661596	675802	56.68	20	SCRT2	85508
34689097	34825651	43.48	20	NCOA6	23054
46267961	46294008	54.16	22	TTC38	55020
7455844	7461135	43.84	18		112577592
42781550	42791549	37.45	13	FAM216B	144809
68025839	68037131	35.31	13		101927072
106374477	106384315	45.24	13	LINC00460	728192
36129444	36180557	40.54	18	ELP2	55250
20433778	20433846	42.03	13	MIR4499	100616304
27255064	27255135	36.11	13	SNORD102	26771
27255401	27255526	40.48	13	SNORA27	619499
24162416	24162504	57.30	13	MIR2276	100313842
39664034	39664135	44.12	13	MIR4305	100422940
43400331	43409681	56.00	22	LINC01639	105373054
55174454	55174548	34.74	13	MIR5007	100846996
61199798	61199880	40.96	13	MIR3169	100422973
40769630	40819399	41.77	22	SLC25A17	10478
87618665	87618740	42.11	13	MIR4500	100616182
98208524	98208600	49.35	13	MIR3170	100422881
107320895	107320963	44.93	13	SNORD31B	109616978
107531171	107531248	44.87	13	MIR1267	100302286
110340958	110341029	52.78	13	MIR8073	102465872
23418971	23428869	46.44	13	SACS-AS1	100506680
23465776	23487712	38.75	13	LINC00327	100506697
157454	159163	39.77	20	DEFB127	140850
48232612	48270357	37.65	13	ITM2B	9445
12950288	13008417	38.10	20	LINC01723	100505515
13008972	13169103	39.89	20	SPTLC3	55304
37697048	37776556	54.36	22	TRIOBP	11078
25985210	26086917	45.70	20	FAM182A	284800
49995888	50020481	41.26	13	TRIM13	10206
435487	435578	83.70	HG2513_PATCH	MIR6724-3	103504739
442732	442884	57.52	HG2513_PATCH	RNA5-8SN3	109910381
479655	479746	83.70	HG2513_PATCH	MIR6724-4	103504733
41304212	41357727	44.37	21	FAM3B	54097
486948	487100	57.52	HG2513_PATCH	RNA5-8SN1	106632260
49996415	49996501	35.63	13	MIR3613	100500908
50015254	50020922	37.59	13	KCNRG	283518
31257664	31259632	40.99	20	DEFB115	245929
50048973	50049061	40.45	13	MIR16-1	406950
50049119	50049201	42.17	13	MIR15A	406948
26167817	26251546	35.99	20	MIR663AHG	284801
37653	39061	43.44	HG2527_PATCH		105373299
20768	35515	41.81	HG2527_PATCH	TCEAL2	140597
48798	51067	49.91	HG2527_PATCH	BEX5	340542
35231	38060	56.36	HG2527_PATCH	TCEAL6	158931
50909747	51024120	40.31	13	RNASEH2B	79621
26835755	26845409	45.12	21	ADAMTS1	9510
49832449	49838901	46.86	22		105377205
31292499	31338021	45.31	22	PIK3IP1-DT	101929760
47612231	47631569	53.18	22	LINC00898	400932
43166622	43187134	58.30	22	TTLL12	23170
32268228	32279049	40.71	21	MIS18A	54069
69831158	69961803	39.64	18	CD226	10666
24621	27300	59.78	HG2521_PATCH	COL18A1-AS2	100874236
36951	42305	60.67	HG2521_PATCH	COL18A1-AS1	378832
